date	etime	name	nbcell	nbrun	nbvalid	success	time	output
2017-08-22 12:21:19.439030	8.257642400000009	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_pyquickhelper.ipynb	9	8	8	True	1.0326823999999988	
2017-08-22 12:21:26.650369	7.201825800000052	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_with_comments.ipynb	3	3	3	True	0.19292910000001484	
2017-08-22 12:21:34.812726	8.177795399999923	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\exemple_of_fix_menu.ipynb	10	9	9	True	1.031644099999994	
2017-08-22 12:21:48.119771	13.293181000000004	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\having_a_form_in_a_notebook.ipynb	14	11	11	True	6.011425000000031	
2017-08-22 12:21:56.336132	8.218529900000021	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\notebook_with_svg.ipynb	2	2	2	True	0.7975942999999006	
2017-08-22 12:22:04.562744	8.229897999999935	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\simple_example.ipynb	8	8	8	True	1.0791478999999526	
2017-08-22 12:31:38.559820	9.242698799999973	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\check_matplotlib_backend.ipynb	8	8	8	True	2.222185499999796	
2017-08-22 12:31:54.863762	16.29855340000017	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\compare_python_distribution.ipynb	8	8	8	True	9.149403699999992	
2017-08-22 12:32:05.105588	10.245771200000037	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.6894059999999627	
2017-08-22 12:32:13.337193	8.230637399999978	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_completion.ipynb	8	8	8	True	1.07114660000002	
2017-08-22 12:32:23.618240	10.273741800000153	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_documentation.ipynb	6	6	6	True	2.9728162999999768	
2017-08-22 12:32:31.870877	8.256854799999926	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_pyquickhelper.ipynb	9	8	8	True	1.0778214999998	
2017-08-22 12:32:39.096299	7.224922000000106	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_with_comments.ipynb	3	3	3	True	0.20296110000003864	
2017-08-22 12:32:47.315677	8.215512499999932	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\exemple_of_fix_menu.ipynb	10	9	9	True	1.0842457999999624	
2017-08-22 12:33:00.622913	13.306389200000012	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\having_a_form_in_a_notebook.ipynb	14	11	11	True	5.917238600000019	
2017-08-22 12:33:08.852206	8.228463700000018	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\notebook_with_svg.ipynb	2	2	2	True	0.7699581000001672	
2017-08-22 12:33:17.042313	8.200804800000013	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\simple_example.ipynb	8	8	8	True	1.1679697000001852	
2017-08-25 00:16:01.098676	9.182449600000012	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\example_about_files.ipynb	12	12	12	True	2.178491000000008	
2017-08-25 00:22:06.338622	9.23393400000009	d:\jenkins\pymy\pyquickhelper\pyquickhelper_UT_36_std\_doc\notebooks\check_matplotlib_backend.ipynb	8	8	8	True	2.234991100000002	
